AP1;AP2;AP3;AP4;AP5;AP6;AP7;AP8;AP9;AP10;AP11;Beacon 1;Beacon 2;Beacon 3;Beacon 4;Beacon 5;Beacon 6;Beacon 7;Beacon 8;Beacon 9;Beacon 10;Beacon 11;Beacon 12;Beacon 13;Beacon 14;Beacon 15;Beacon 16;Beacon 17;Beacon 18;Beacon 19;Beacon 20;Beacon 21;Beacon 22;Beacon 23;Beacon 24;Beacon 25;Beacon 26;Beacon 27;Beacon 28;Beacon 29;Beacon 30;Beacon 31;Beacon 32;Beacon 33;Beacon 34;Beacon 35;Beacon 36;Beacon 37;Beacon 38;Beacon 39;Beacon 40;Beacon 41;Beacon 42;Beacon 43;Beacon 44;Beacon 45;Beacon 46;X Pos;Y Pos
-80;-110;-68;-60;-65;-69;-71;-71;-110;-110;-110;-110;-93;-110;-110;-110;-110;-110;-88;-110;-110;-110;-110;-88;-110;-110;-110;-84;-110;-110;-110;-105;-77;-80;-110;-110;-110;-96;-110;-89;-70;-93;-110;-110;-110;-110;-97;-110;-110;-80;-110;-110;-110;-110;-110;-110;-90;34.4;28.2
-110;-82;-63;-110;-61;-73;-72;-79;-110;-110;-110;-72;-110;-110;-110;-110;-110;-110;-88;-110;-110;-110;-110;-110;-110;-90;-75;-110;-110;-110;-84;-90;-82;-83;-110;-110;-87;-90;-110;-85;-110;-110;-110;-86;-110;-101;-99;-110;-110;-80;-89;-68;-86;-110;-110;-87;-81;31.3;28.2
-78;-110;-58;-56;-110;-110;-110;-77;-110;-110;-110;-77;-110;-110;-110;-110;-110;-110;-110;-110;-110;-85;-110;-110;-110;-110;-86;-110;-110;-110;-86;-110;-110;-110;-110;-110;-91;-97;-110;-64;-110;-92;-110;-110;-94;-110;-110;-110;-110;-110;-110;-70;-81;-110;-110;-83;-85;28.2;28.2
-76;-75;-44;-62;-62;-74;-110;-82;-110;-110;-110;-110;-86;-110;-110;-110;-88;-110;-110;-110;-110;-110;-110;-75;-95;-84;-80;-110;-85;-110;-110;-91;-73;-110;-110;-110;-110;-110;-110;-70;-76;-83;-89;-110;-110;-97;-97;-110;-110;-93;-110;-110;-91;-100;-89;-89;-81;25.1;28.2
-77;-64;-60;-65;-72;-110;-85;-110;-110;-110;-110;-75;-86;-110;-85;-110;-85;-110;-110;-110;-110;-110;-110;-85;-87;-79;-81;-110;-92;-110;-110;-85;-110;-110;-110;-110;-110;-100;-72;-74;-110;-83;-110;-110;-110;-110;-99;-110;-83;-96;-110;-76;-110;-110;-88;-87;-82;22;28.2
-110;-110;-48;-67;-71;-85;-110;-110;-110;-110;-110;-86;-110;-110;-110;-110;-110;-110;-110;-110;-110;-72;-110;-110;-110;-78;-110;-110;-110;-110;-97;-92;-110;-110;-110;-110;-80;-110;-74;-78;-82;-83;-110;-110;-110;-110;-110;-110;-85;-110;-110;-110;-110;-110;-85;-110;-83;18.9;28.2
-75;-65;-46;-69;-110;-110;-110;-110;-110;-110;-73;-110;-110;-110;-110;-110;-72;-97;-110;-110;-92;-76;-110;-110;-110;-110;-81;-110;-110;-110;-94;-96;-71;-110;-110;-92;-77;-110;-110;-79;-110;-77;-81;-93;-83;-92;-110;-110;-110;-90;-110;-90;-92;-110;-88;-110;-92;15.8;28.2
-74;-69;-51;-75;-76;-110;-110;-110;-110;-110;-110;-90;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-81;-81;-110;-92;-110;-110;-79;-76;-110;-110;-98;-110;-110;-67;-87;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-110;-94;15.8;34.4
-67;-74;-44;-74;-80;-110;-110;-89;-110;-110;-110;-90;-100;-110;-110;-110;-75;-110;-110;-110;-110;-75;-79;-75;-110;-73;-82;-110;-110;-110;-110;-73;-66;-90;-110;-110;-110;-110;-62;-79;-96;-76;-110;-92;-90;-92;-110;-110;-89;-110;-110;-84;-110;-110;-85;-89;-110;18.9;34.4
-76;-74;-51;-76;-81;-110;-110;-110;-87;-110;-110;-110;-110;-110;-85;-110;-110;-110;-110;-110;-110;-110;-81;-82;-91;-110;-82;-110;-90;-110;-90;-110;-71;-110;-110;-110;-110;-110;-67;-86;-110;-110;-110;-110;-96;-95;-110;-110;-89;-110;-110;-110;-110;-110;-110;-97;-91;22;34.4
